3.651918,3.344698,3.080406,2.851125,2.650793,2.474687,2.319073,2.180957,2.057910,1.947941,1.849399,1.760903,1.681290,1.609566,1.544882,1.486503,1.433791,1.386186,1.343195,1.304382,1.269357,1.237773,1.209317,1.183708,1.160690,1.140034,1.121528,1.104983,1.090223,1.077090,1.065439,1.055137
3.657624,3.350076,3.085496,2.855962,2.655405,2.479097,2.323298,2.185014,2.061811,1.951698,1.853020,1.764398,1.684663,1.612825,1.548031,1.489548,1.436734,1.389031,1.345946,1.307040,1.271926,1.240255,1.211715,1.186024,1.162927,1.142193,1.123612,1.106994,1.092163,1.078962,1.067244,1.056879
3.666528,3.358466,3.093438,2.863509,2.662600,2.485975,2.329889,2.191340,2.067895,1.957556,1.858668,1.769847,1.689924,1.617907,1.552943,1.494295,1.441323,1.393468,1.350234,1.311186,1.275933,1.244127,1.215455,1.189636,1.166415,1.145561,1.126863,1.110130,1.095190,1.081882,1.070061,1.059596
3.678605,3.369846,3.104210,2.873744,2.672356,2.495300,2.338824,2.199918,2.076143,1.965498,1.866323,1.777233,1.697055,1.624795,1.559599,1.500728,1.447543,1.399480,1.356047,1.316804,1.281363,1.249374,1.220524,1.194533,1.171143,1.150126,1.131269,1.114383,1.099293,1.085841,1.073881,1.063280
3.693825,3.384185,3.117781,2.886638,2.684646,2.507047,2.350077,2.210721,2.086530,1.975498,1.875962,1.786531,1.706032,1.633466,1.567978,1.508827,1.455372,1.407049,1.363363,1.323877,1.288198,1.255979,1.226906,1.200697,1.177097,1.155874,1.136819,1.119740,1.104463,1.090829,1.078693,1.067923
3.712149,3.401447,3.134116,2.902155,2.699435,2.521181,2.363616,2.223715,2.099022,1.987525,1.887553,1.797713,1.716826,1.643892,1.578052,1.518564,1.464784,1.416148,1.372160,1.332380,1.296417,1.263922,1.234581,1.208111,1.184258,1.162789,1.143494,1.126184,1.110682,1.096831,1.084484,1.073510
3.733532,3.421587,3.153172,2.920255,2.716682,2.537661,2.379401,2.238863,2.113584,2.001542,1.901062,1.810743,1.729404,1.656040,1.589789,1.529908,1.475750,1.426749,1.382409,1.342287,1.305993,1.273177,1.243524,1.216751,1.192603,1.170848,1.151277,1.133697,1.117934,1.103830,1.091239,1.080029
3.757920,3.444554,3.174900,2.940888,2.736341,2.556443,2.397387,2.256122,2.130173,2.017508,1.916446,1.825581,1.743726,1.669871,1.603153,1.542824,1.488235,1.438819,1.394077,1.353568,1.316897,1.283716,1.253708,1.226591,1.202109,1.180030,1.160143,1.142258,1.126199,1.111809,1.098940,1.087462
3.785257,3.470293,3.199244,2.964003,2.758360,2.577477,2.417527,2.275444,2.148741,2.035377,1.933663,1.842185,1.759750,1.685346,1.618103,1.557272,1.502201,1.452321,1.407130,1.366187,1.329096,1.295507,1.265104,1.237603,1.212748,1.190307,1.170070,1.151844,1.135455,1.120745,1.107567,1.095790
3.815478,3.498742,3.226147,2.989542,2.782683,2.600707,2.439765,2.296776,2.169238,2.055100,1.952663,1.860506,1.777431,1.702418,1.634596,1.573210,1.517607,1.467214,1.421530,1.380108,1.342555,1.308517,1.277679,1.249756,1.224491,1.201652,1.181029,1.162429,1.145678,1.130617,1.117099,1.104993
3.848516,3.529836,3.255545,3.017443,2.809251,2.626075,2.464046,2.320063,2.191610,2.076623,1.973395,1.880494,1.796718,1.721041,1.652585,1.590594,1.534410,1.483459,1.437235,1.395293,1.357236,1.322710,1.291398,1.263016,1.237306,1.214035,1.192993,1.173987,1.156842,1.141399,1.127513,1.115049
3.884299,3.563506,3.287370,3.047641,2.838000,2.653521,2.490310,2.345247,2.215800,2.099892,1.995804,1.902098,1.817561,1.741164,1.672022,1.609376,1.552565,1.501010,1.454204,1.411700,1.373100,1.338048,1.306226,1.277350,1.251160,1.227425,1.205931,1.186488,1.168920,1.153067,1.138784,1.125937
3.922752,3.599678,3.321553,3.080069,2.868864,2.682980,2.518495,2.372268,2.241749,2.124849,2.019835,1.925262,1.839908,1.762736,1.692858,1.629509,1.572024,1.519822,1.472393,1.429288,1.390106,1.354491,1.322125,1.292721,1.266020,1.241788,1.219813,1.199904,1.181884,1.165594,1.150887,1.137631
3.963797,3.638279,3.358022,3.114658,2.901777,2.714386,2.548537,2.401062,2.269397,2.151435,2.045432,1.949931,1.863703,1.785705,1.715042,1.650943,1.592740,1.539849,1.491757,1.448013,1.408213,1.372002,1.339057,1.309093,1.281849,1.257091,1.234607,1.214204,1.195706,1.178952,1.163797,1.150107
4.007354,3.679233,3.396703,3.151335,2.936669,2.747674,2.580370,2.431569,2.298682,2.179590,2.072535,1.976048,1.888893,1.810017,1.738521,1.673627,1.614664,1.561044,1.512252,1.467831,1.427380,1.390538,1.356984,1.326429,1.298613,1.273301,1.250280,1.229357,1.210355,1.193114,1.177487,1.163340
